pagina,titulo,preco,estado,cidade,bairro,url,data_publicacao,data_pesquisa
6,Hilux Sw4 2017,243000.0,PR,Siqueira Campos,,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/hilux-sw4-2017-1086389345,2023-04-14 17:43:16,2023-04-14 17:55:14
6,VW Gol 1.0 G5 Trend 2011 - Prata - Completo!!!,26000.0,SP,Guarulhos,Jardim Guilhermino,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vw-gol-1-0-g5-trend-2011-prata-completo-1173020184,2023-04-14 17:43:21,2023-04-14 17:55:14
6,Gol turbo,15000.0,PR,Campo Magro,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/gol-turbo-1173020186,2023-04-14 17:43:22,2023-04-14 17:55:14
6,SW4 Diesel SRV,138000.0,GO,Silvânia,,https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/sw4-diesel-srv-1173020232,2023-04-14 17:43:32,2023-04-14 17:55:14
6,Tucson 2009/2010 Automática,26000.0,AL,Maceió,Ponta Verde,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/tucson-2009-2010-automatica-1173020179,2023-04-14 17:43:21,2023-04-14 17:55:14
6,Chevrolet Spin LT 1.8 2014,46900.0,SC,Joinville,Santa Catarina,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-spin-lt-1-8-2014-1173020159,2023-04-14 17:43:12,2023-04-14 17:55:14
6,Onix LT 2021 - Flex - Confira !!!,72590.0,SP,São José dos Campos,Jardim Satélite,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/autos-e-pecas/carros-vans-e-utilitarios/onix-lt-2021-flex-confira-1173020160,2023-04-14 17:43:12,2023-04-14 17:55:15
6,Ford Ka 2017 ,44900.0,SP,Itaquaquecetuba,Jardim Europa,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-2017-1173020152,2023-04-14 17:43:11,2023-04-14 17:55:15
6,Compass Limited Diesel 2022,184900.0,SP,Sorocaba,Jardim Residencial Mont Blanc,https://sp.olx.com.br/regiao-de-sorocaba/autos-e-pecas/carros-vans-e-utilitarios/compass-limited-diesel-2022-1173020150,2023-04-14 17:43:09,2023-04-14 17:55:15
6,Voyage 2013 novo emplacado é revisado.,27850.0,SE,Aracaju,Centro,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/voyage-2013-novo-emplacado-e-revisado-1173020155,2023-04-14 17:43:11,2023-04-14 17:55:15
6,Onix LTZ 1.4 Flex 2018 Automático Unico dono ,67990.0,SP,Campinas,Jardim Brasil,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/onix-ltz-1-4-flex-2018-automatico-unico-dono-1132669472,2023-04-14 17:43:04,2023-04-14 17:55:15
6,RENAULT CLIO 1.0 CAMPUS 16V,17900.0,SP,Águas de Lindóia,,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/renault-clio-1-0-campus-16v-1167922012,2023-04-14 17:43:05,2023-04-14 17:55:15
6,3008 gt pack thp zero km exclusiva,257990.0,PR,São José dos Pinhais,Afonso Pena,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/3008-gt-pack-thp-zero-km-exclusiva-1169006050,2023-04-14 17:43:06,2023-04-14 17:55:15
6,Compass Longitude,149900.0,SC,Blumenau,Itoupava Norte,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/compass-longitude-1168354917,2023-04-14 17:43:07,2023-04-14 17:55:15
6,Cruze 1.8 lt 2015 completo super novo revisado,66900.0,RS,Porto Alegre,Sarandi,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/cruze-1-8-lt-2015-completo-super-novo-revisado-1173020151,2023-04-14 17:43:09,2023-04-14 17:55:15
6,Grand Cherokee limited 4x4 Diesel 2015,145000.0,CE,Fortaleza,Vicente Pinzon,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/grand-cherokee-limited-4x4-diesel-2015-1165889420,2023-04-14 17:43:06,2023-04-14 17:55:16
6,Hyundai IX35 2017 Com garantia de 2 anos!,91900.0,PR,São José dos Pinhais,Cidade Jardim,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/hyundai-ix35-2017-com-garantia-de-2-anos-1165471961,2023-04-14 17:43:05,2023-04-14 17:55:16
6,Civic LXR ,62900.0,SP,Sorocaba,Centro,https://sp.olx.com.br/regiao-de-sorocaba/autos-e-pecas/carros-vans-e-utilitarios/civic-lxr-1168429198,2023-04-14 17:43:00,2023-04-14 17:55:16
6,EcoSport XLT FREESTYLE 1.6 Flex 8V 5p,39990.0,SP,Valinhos,Vila Faustina II,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/ecosport-xlt-freestyle-1-6-flex-8v-5p-1162991987,2023-04-14 17:43:01,2023-04-14 17:55:16
6,Corolla Xei 2018 ,103490.0,MG,Paraguaçu,,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/corolla-xei-2018-1165948517,2023-04-14 17:43:01,2023-04-14 17:55:16
6,Chevrolet CLASSIC LS 1.0,27900.0,PA,Belém,Sacramenta,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-classic-ls-1-0-1162310098,2023-04-14 17:43:04,2023-04-14 17:55:16
6,Ford Ka SE 1.0,45900.0,MA,São Luís,Coroado,https://ma.olx.com.br/regiao-de-sao-luis/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-se-1-0-1170994662,2023-04-14 17:43:02,2023-04-14 17:55:16
7,HYUNDAI HB20S HB20S 5 ANOS 1.0 FLEX 12V MEC.,62900.0,GO,Goiânia,Setor Oeste,https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20s-hb20s-5-anos-1-0-flex-12v-mec-1148614225,2023-04-14 17:42:56,2023-04-14 17:55:19
7,Renegade 2.0 Longitude Diesel Automático 2021,144980.0,PE,Jaboatão dos Guararapes,Piedade,https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/renegade-2-0-longitude-diesel-automatico-2021-1144459657,2023-04-14 17:42:57,2023-04-14 17:55:19
7,Renault Kwid 2020 1.0 12v sce flex zen manual,49990.0,RJ,Rio de Janeiro,Barra da Tijuca,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/renault-kwid-2020-1-0-12v-sce-flex-zen-manual-1148662166,2023-04-14 17:42:59,2023-04-14 17:55:19
7,Volkswagen Tigual Allspace Tsi 250 2019,151900.0,SP,São Paulo,Casa Verde,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-tigual-allspace-tsi-250-2019-1161057502,2023-04-14 17:42:56,2023-04-14 17:55:19
7,Fiat 500  Sport air 1.4 16V (Aut) GASOLINA AUTOMÁTICO,55900.0,SP,Osasco,Vila Osasco,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-500-sport-air-1-4-16v-aut-gasolina-automatico-1166725959,2023-04-14 17:42:59,2023-04-14 17:55:19
7,MITSUBISHI L200 TRITON 3.2 DIESEL,109990.0,DF,Brasília,Zona Industrial (Guará),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/mitsubishi-l200-triton-3-2-diesel-1150603226,2023-04-14 17:42:57,2023-04-14 17:55:19
7,Strada Adventure Locker CD 1.8 2015,58800.0,ES,Vila Velha,Alvorada,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/strada-adventure-locker-cd-1-8-2015-1110759282,2023-04-14 17:42:59,2023-04-14 17:55:20
